"profile id","species id","bird name","latin bird name","date","location","latitude","longitude","map"
"1623","186","Hedehøg","Circus pygargus","2006-05-25","Vilslev Enge","","",""
"1623","189","Duehøg","Accipiter gentilis","2007-01-21","Gribskov","","",""
"1623","190","Spurvehøg","Accipiter nisus","2004-01-04","Solbjerg Engsø","","",""
"1623","194","Musvåge","Buteo buteo","","","","",""
"1623","196","Fjeldvåge","Buteo lagopus","2006-01-07","Strødam Engsø","","",""
"1623","198","Stor Skrigeørn","Clanga clanga","2009-05-09","Hulsig Hede","","",""
"1623","197","Lille Skrigeørn","Clanga pomarina","2017-05-21","Ulvshaleskoven, Møn","","",""
"1623","205","Høgeørn","Aquila fasciata","2011-05-21","Bøtø Nor, Falster","","",""
"1623","200","Steppeørn","Aquila nipalensis","2014-05-30","Grenen, Skagen","","",""
"1623","206","Fiskeørn","Pandion haliaetus","2006-04-17","Strødam Engsø","","",""
"1623","208","Tårnfalk","Falco tinnunculus","2003-04-17","Solbjerg Engsø","","",""
"1623","210","Aftenfalk","Falco vespertinus","2011-05-09","Gilbjerg Hoved","","",""
"1623","212","Dværgfalk","Falco columbarius","2006-09-30","Hejresøen, Vestamager","","",""
"1623","213","Lærkefalk","Falco subbuteo","2006-04-29","Gilbjerg Hoved","","",""
"1623","219","Vandrefalk","Falco peregrinus","2005-06-19","Krap-tårnet, Vejlerne","","",""
"1623","237","Agerhøne","Perdix perdix","2006-05-25","Sønderjylland","","",""
"1623","238","Vagtel","Coturnix coturnix","2007-06-07","Lille Lyngby Mose","","",""
"1623","239","Fasan","Phasianus colchicus","2003-05-10","Knudsker","","",""
"1623","244","Vandrikse","Rallus aquaticus","2003-06-14","Vaserne","","",""
"1623","245","Plettet Rørvagtel","Porzana porzana","2007-06-07","Lykkesholm, Arresø","","",""
"1623","251","Engsnarre","Crex crex","2007-06-08","Søborg Sø","","",""
"1623","252","Grønbenet Rørhøne","Gallinula chloropus","2003-04-17","Solbjerg Engsø","","",""
"1623","257","Blishøne","Fulica atra","","","","",""
"1623","260","Trane","Grus grus","2005-06-19","Skårup Odde, Vejlerne","","",""
"1623","272","Strandskade","Haematopus ostralegus","2003-04-17","Solbjerg Engsø","","",""
"1623","274","Stylteløber","Himantopus himantopus","2009-05-10","Harboøre Tange","","",""
"1623","275","Klyde","Recurvirostra avosetta","2005-06-19","Krap-tårnet, Vejlerne","","",""
"1623","281","Rødvinget Braksvale","Glareola pratincola","2012-06-02","Sydmøllevej, Vestamager","","",""
"1623","284","Lille Præstekrave","Charadrius dubius","","Solbjerg Engsø","","",""
"1623","285","Stor Præstekrave","Charadrius hiaticula","","Favrholm Voldgrav","","",""
"1623","289","Hvidbrystet Præstekrave","Charadrius alexandrinus","2006-05-26","Lakolk Strand, Rømø","","",""
"1623","293","Pomeransfugl","Charadrius morinellus","2006-05-26","Juvre, Rømø","","",""
"1623","296","Hjejle","Pluvialis apricaria","2005-08-14","Ølsemagle Revle","","",""
