"profile id","species id","bird name","latin bird name","date","country id","country","location","latitude","longitude","map"
"195","157","Common Goldeneye","Bucephala clangula","","","","","","",""
"195","159","Smew","Mergellus albellus","","","","","","",""
"195","160","Red-breasted Merganser","Mergus serrator","","","","","","",""
"195","161","Common Merganser","Mergus merganser","","","","","","",""
"195","164","European Honey-buzzard","Pernis apivorus","","","","","","",""
"195","165","Crested Honey Buzzard","Pernis ptilorhyncus","2015-09-21","35","Georgia","Sakhalvasho","41.674450","41.727791","http://maps.google.co.uk/maps?q=loc:41.674450, 41.727791(Crested Honey Buzzard)&z=7&iwloc=A"
"195","167","Black-winged Kite","Elanus caeruleus","","","","","","",""
"195","168","Black Kite","Milvus migrans","","","","","","",""
"195","169","Red Kite","Milvus milvus","","","","","","",""
"195","172","White-tailed Eagle","Haliaeetus albicilla","","","","","","",""
"195","174","Bearded Vulture","Gypaetus barbatus","","","","","","",""
"195","175","Egyptian Vulture","Neophron percnopterus","","","","","","",""
"195","177","Griffon Vulture","Gyps fulvus","","","","","","",""
"195","180","Cinereous Vulture","Aegypius monachus","","","","","","",""
"195","181","Short-toed Snake Eagle","Circaetus gallicus","","","","","","",""
"195","183","Western Marsh Harrier","Circus aeruginosus","","","","","","",""
"195","184","Hen Harrier","Circus cyaneus","","","","","","",""
"195","185","Pallid Harrier","Circus macrourus","","","","","","",""
"195","186","Montagu's Harrier","Circus pygargus","","","","","","",""
"195","189","Northern Goshawk","Accipiter gentilis","","","","","","",""
"195","190","Eurasian Sparrowhawk","Accipiter nisus","","","","","","",""
"195","192","Levant Sparrowhawk","Accipiter brevipes","","","","","","",""
"195","194","Common Buzzard","Buteo buteo","","","","","","",""
"195","195","Long-legged Buzzard","Buteo rufinus","","","","","","",""
"195","196","Rough-legged Buzzard","Buteo lagopus","","","","","","",""
"195","198","Greater Spotted Eagle","Clanga clanga","","","","","","",""
"195","197","Lesser Spotted Eagle","Clanga pomarina","","","","","","",""
"195","204","Booted Eagle","Hieraaetus pennatus","","","","","","",""
"195","202","Golden Eagle","Aquila chrysaetos","","","","","","",""
"195","205","Bonelli's Eagle","Aquila fasciata","","","","","","",""
"195","200","Steppe Eagle","Aquila nipalensis","2015-09-20","35","Georgia","Sakhalvasho","41.682143","41.726074","http://maps.google.co.uk/maps?q=loc:41.682143, 41.726074(Steppe Eagle)&z=7&iwloc=A"
"195","201","Eastern Imperial Eagle","Aquila heliaca","","","","","","",""
"195","899","Spanish Imperial Eagle","Aquila adalberti","","","","","","",""
"195","206","Western Osprey","Pandion haliaetus","","","","","","",""
"195","207","Lesser Kestrel","Falco naumanni","","","","","","",""
"195","208","Common Kestrel","Falco tinnunculus","","","","","","",""
"195","210","Red-footed Falcon","Falco vespertinus","","","","","","",""
"195","212","Merlin","Falco columbarius","","","","","","",""
"195","213","Eurasian Hobby","Falco subbuteo","","","","","","",""
"195","214","Eleonora's Falcon","Falco eleonorae","","","","","","",""
"195","218","Gyrfalcon","Falco rusticolus","","","","","","",""
"195","219","Peregrine Falcon","Falco peregrinus","","","","","","",""
"195","221","Hazel Grouse","Tetrastes bonasia","","","","","","",""
"195","222","Willow Ptarmigan","Lagopus lagopus","","","","","","",""
"195","223","Rock Ptarmigan","Lagopus muta","","","","","","",""
"195","224","Black Grouse","Tetrao tetrix","","","","","","",""
"195","226","Western Capercaillie","Tetrao urogallus","","","","","","",""
"195","229","Chukar Partridge","Alectoris chukar","","","","","","",""
"195","231","Red-legged Partridge","Alectoris rufa","","","","","","",""
"195","235","Black Francolin","Francolinus francolinus","","","","","","",""
"195","237","Grey Partridge","Perdix perdix","","","","","","",""
"195","238","Common Quail","Coturnix coturnix","","","","","","",""
"195","239","Common Pheasant","Phasianus colchicus","","","","","","",""
"195","244","Water Rail","Rallus aquaticus","","","","","","",""
"195","245","Spotted Crake","Porzana porzana","","","","","","",""
"195","247","Little Crake","Porzana parva","2015-10-02","35","Georgia","Batumi","41.604661","41.578445","http://maps.google.co.uk/maps?q=loc:41.604661, 41.578445(Little Crake)&z=7&iwloc=A"
"195","248","Baillon's Crake","Porzana pusilla","","","","","","",""
"195","251","Corn Crake","Crex crex","","","","","","",""
"195","252","Common Moorhen","Gallinula chloropus","","","","","","",""
"195","256","Western Swamphen","Porphyrio porphyrio","","","","","","",""
"195","257","Eurasian Coot","Fulica atra","","","","","","",""
"195","259","Red-knobbed Coot","Fulica cristata","","","","","","",""
"195","260","Common Crane","Grus grus","","","","","","",""
"195","265","Little Bustard","Tetrax tetrax","","","","","","",""
"195","270","Great Bustard","Otis tarda","","","","","","",""
"195","272","Eurasian Oystercatcher","Haematopus ostralegus","","","","","","",""
"195","274","Black-winged Stilt","Himantopus himantopus","","","","","","",""
"195","275","Pied Avocet","Recurvirostra avosetta","","","","","","",""
"195","277","Eurasian Stone-curlew","Burhinus oedicnemus","","","","","","",""
"195","281","Collared Pratincole","Glareola pratincola","","","","","","",""
"195","283","Black-winged Pratincole","Glareola nordmanni","","","","","","",""
"195","284","Little Ringed Plover","Charadrius dubius","","","","","","",""
"195","285","Common Ringed Plover","Charadrius hiaticula","","","","","","",""
"195","289","Kentish Plover","Charadrius alexandrinus","","","","","","",""
"195","293","Eurasian Dotterel","Charadrius morinellus","","","","","","",""
"195","296","European Golden Plover","Pluvialis apricaria","","","","","","",""
"195","297","Grey Plover","Pluvialis squatarola","","","","","","",""
"195","301","Sociable Lapwing","Vanellus gregarius","","","","","","",""
"195","302","White-tailed Lapwing","Vanellus leucurus","","","","","","",""
"195","303","Northern Lapwing","Vanellus vanellus","","","","","","",""
"195","305","Red Knot","Calidris canutus","","","","","","",""
"195","306","Sanderling","Calidris alba","","","","","","",""
"195","310","Little Stint","Calidris minuta","","","","","","",""
"195","311","Temminck's Stint","Calidris temminckii","","","","","","",""
"195","316","Pectoral Sandpiper","Calidris melanotos","","","","","","",""
"195","318","Curlew Sandpiper","Calidris ferruginea","","","","","","",""
"195","319","Purple Sandpiper","Calidris maritima","","","","","","",""
"195","320","Dunlin","Calidris alpina","","","","","","",""
"195","322","Broad-billed Sandpiper","Calidris falcinellus","","","","","","",""
"195","325","Ruff","Calidris pugnax","","","","","","",""
"195","326","Jack Snipe","Lymnocryptes minimus","","","","","","",""
"195","327","Common Snipe","Gallinago gallinago","","","","","","",""
"195","328","Great Snipe","Gallinago media","","","","","","",""
"195","333","Eurasian Woodcock","Scolopax rusticola","","","","","","",""
"195","334","Black-tailed Godwit","Limosa limosa","","","","","","",""
"195","336","Bar-tailed Godwit","Limosa lapponica","","","","","","",""
"195","339","Whimbrel","Numenius phaeopus","","","","","","",""
"195","341","Eurasian Curlew","Numenius arquata","","","","","","",""
"195","353","Common Sandpiper","Actitis hypoleucos","","","","","","",""
"195","350","Green Sandpiper","Tringa ochropus","","","","","","",""
"195","343","Spotted Redshank","Tringa erythropus","","","","","","",""
"195","346","Common Greenshank","Tringa nebularia","","","","","","",""
"195","345","Marsh Sandpiper","Tringa stagnatilis","","","","","","",""
"195","351","Wood Sandpiper","Tringa glareola","","","","","","",""
"195","344","Common Redshank","Tringa totanus","","","","","","",""
"195","357","Ruddy Turnstone","Arenaria interpres","","","","","","",""
"195","359","Red-necked Phalarope","Phalaropus lobatus","","","","","","",""
"195","360","Red Phalarope","Phalaropus fulicarius","","","","","","",""
"195","361","Pomarine Jaeger","Stercorarius pomarinus","","","","","","",""
"195","362","Parasitic Jaeger","Stercorarius parasiticus","","","","","","",""
"195","363","Long-tailed Jaeger","Stercorarius longicaudus","","","","","","",""
"195","364","Great Skua","Stercorarius skua","","","","","","",""
"195","390","Black-legged Kittiwake","Rissa tridactyla","","","","","","",""
"195","378","Slender-billed Gull","Chroicocephalus genei","","","","","","",""
"195","375","Black-headed Gull","Chroicocephalus ridibundus","","","","","","",""
"195","372","Little Gull","Hydrocoloeus minutus","","","","","","",""
"195","389","Ross's Gull","Rhodostethia rosea","","","","","","",""
"195","370","Laughing Gull","Leucophaeus atricilla","","","","","","",""
"195","369","Mediterranean Gull","Ichthyaetus melanocephalus","","","","","","",""
"195","379","Audouin's Gull","Ichthyaetus audouinii","","","","","","",""
"195","368","Pallas's Gull","Ichthyaetus ichthyaetus","2016-05-04","23","Romania","Donau deltaet","45.172598","29.736900","http://maps.google.co.uk/maps?q=loc:45.172598, 29.736900(Pallas's Gull)&z=7&iwloc=A"
"195","381","Mew Gull","Larus canus","","","","","","",""
"195","382","Lesser Black-backed Gull","Larus fuscus","","","","","","",""
"195","383","European Herring Gull","Larus argentatus","","","","","","",""
"195","981","Yellow-legged Gull","Larus michahellis","","","","","","",""
"195","980","Caspian Gull","Larus cachinnans","","","","","","",""
"195","982","Armenian Gull","Larus armenicus","2015-10-02","35","Georgia","Batumi","","",""
"195","384","Iceland Gull","Larus glaucoides","","","","","","",""
"195","385","Glaucous Gull","Larus hyperboreus","","","","","","",""
"195","386","Great Black-backed Gull","Larus marinus","","","","","","",""
"195","405","Bridled Tern","Onychoprion anaethetus","","","","","","",""
"195","407","Little Tern","Sternula albifrons","","","","","","",""
"195","392","Gull-billed Tern","Gelochelidon nilotica","","","","","","",""
"195","393","Caspian Tern","Hydroprogne caspia","","","","","","",""
"195","409","Whiskered Tern","Chlidonias hybrida","","","","","","",""
"195","410","Black Tern","Chlidonias niger","","","","","","",""
"195","411","White-winged Tern","Chlidonias leucopterus","","","","","","",""
"195","397","Sandwich Tern","Thalasseus sandvicensis","","","","","","",""
"195","400","Common Tern","Sterna hirundo","","","","","","",""
"195","401","Arctic Tern","Sterna paradisaea","","","","","","",""
"195","414","Common Murre","Uria aalge","","","","","","",""
"195","416","Razorbill","Alca torda","","","","","","",""
"195","418","Black Guillemot","Cepphus grylle","","","","","","",""
"195","420","Little Auk","Alle alle","","","","","","",""
"195","423","Atlantic Puffin","Fratercula arctica","","","","","","",""
"195","429","Black-bellied Sandgrouse","Pterocles orientalis","","","","","","",""
"195","430","Pin-tailed Sandgrouse","Pterocles alchata","","","","","","",""
"195","432","Rock Dove","Columba livia","","","","","","",""
"195","433","Stock Dove","Columba oenas","","","","","","",""
"195","435","Common Wood Pigeon","Columba palumbus","","","","","","",""
"195","440","Eurasian Collared Dove","Streptopelia decaocto","","","","","","",""
"195","441","European Turtle Dove","Streptopelia turtur","","","","","","",""
"195","443","Laughing Dove","Spilopelia senegalensis","","","","","","",""
"195","445","Mourning Dove","Zenaida macroura","1997-05-20","1","Denmark","Skagen","","",""
"195","447","Rose-ringed Parakeet","Psittacula krameri","","","","","","",""
"195","449","Great Spotted Cuckoo","Clamator glandarius","","","","","","",""
"195","451","Common Cuckoo","Cuculus canorus","","","","","","",""
"195","456","Western Barn Owl","Tyto alba","","","","","","",""
"195","458","Eurasian Scops Owl","Otus scops","","","","","","",""
"195","459","Eurasian Eagle-Owl","Bubo bubo","","","","","","",""
